ID,group,Mature,Dimer,Pro.,Ymaze,Open Time (%),VWRA,Normalized VWRA
1,Irrad,0.46621864,1.145395031,0.718401055,70.6,,938,0.6465
2,Sham,3.940025968,8.674120497,3.905078806,66.7,,1294,0.8788
3,Irrad,1.08450197,1.703168371,1.310997469,33.3,,707,0.4296
4,Sham,0.595839817,0.616037474,4.973071538,28.6,,,
5,Irrad,0.701810601,0.86366945,0.29450315,52.2,,,
6,Irrad,0.569144583,0.740211425,0.493095637,55,,,
7,Sham,0.47433003,0.699751535,0.361083261,70.8,,1525,1.0098
8,Irrad,0.572910899,0.779566228,0.395080049,44.4,,469,0.3309
9,Irrad,0.893062214,0.514246306,7.135658669,25,,,
10,Sham,0.70879212,1.189357399,2.039368355,53.6,,776,0.5834
11,Sham,1.616649431,1.115190789,1.667691151,65,,1465,0.7545
12,Sham,1.705084977,1.24227775,1.597467814,64.7,,1062,1.2107
13,Irrad,2.105676665,1.308873598,2.16223768,37.5,,532,0.3724
14,Sham,1.730223087,1.471454398,1.913809915,59.1,,1354,0.9099
15,Irrad,1.693940158,0.536893808,4.647127849,,,,
17,Sham,1.16685755,0.602617001,2.38657301,,,,
18,Sham,1.800204857,0.511082489,2.140681061,,,,
19,Irrad,1.157482509,0.672683754,2.091177893,,,,
20,Sham,1.613439174,0.584024432,0.831304432,,,,
1,Irrad,3.558455662,2.99940761,3.537875114,46.7,,934,0.5665
2,Sham,1.323674559,1.038138129,1.088916431,,,1490,0.9446
3,Sham,1.342276557,0.936767336,1.18042707,73.7,,1653,1.0592
4,Irrad,1.584475704,0.664989451,1.227893336,68.4,,441,0.477
5,Sham,1.328231851,0.776054187,1.25003953,60,,,
7,Irrad,2.492555025,1.603092352,2.16453685,68.4,,481,0.3186
8,Sham,1.715230742,1.410983554,1.461799905,52.9,,1176,0.9441
9,Irrad,1.266779276,0.955668292,1.236696728,33.3,,772,0.4972
10,Sham,1.426833195,0.764996747,1.237924885,68.8,,1881,1.0696
11,Sham,2.379997792,1.548936554,1.465584183,64.7,,1317,1.0676
12,Irrad,1.497058924,1.890072512,1.648055043,60,,1053,0.7349
13,Sham,2.02077435,1.289009166,1.105288903,81.8,,1120,0.9553
14,Sham,3.063654236,1.630082831,1.14602957,60,,1454,1.1372
16,Irrad,1.001935081,0.951831581,1.095973145,52.9,,557,0.391
17,Irrad,0.430982376,0.70306887,0.768113067,,,,
18,Irrad,0.31058611,1.057825281,0.977269335,,,,
19,Irrad,0.397889885,0.82083184,1.243779662,,,,
20,Irrad,1.478249637,2.083858892,2.480584294,,,,
21,Irrad,0.690031745,1.083175546,1.83282794,,,,
22,Irrad,0.614927814,0.740468207,1.44267254,,,,
23,Irrad,0.879049552,1.279167048,1.806769848,,,,
1,Irrad,1.770732694,1.798883839,1.381842103,,55.8,960,0.546608102
2,Irrad,2.454446805,1.455352939,0.83902693,,47.1,709,0.628784999
3,Irrad,2.777438175,0.984631503,0.873013511,,47.9,235,0.143881746
6,Irrad,2.573133945,2.75558797,1.915475423,,12.4,314,0.209453021
8,Irrad,1.036002887,1.040666836,0.82903107,,26.4,221,0.155790534
10,Irrad,0.663712735,0.84079649,0.679921383,,36.1,820,0.56010929
13,Irrad,1.213661596,1.164805131,1.571104992,,19.5,601,0.467600311
14,Irrad,0.762482266,1.055181361,1.084201825,,23.8,560,0.337117303
4,Sham,4.079403166,2.079869271,1.881166325,,48,1386,1.188096988
5,Sham,2.677908906,1.714154166,1.316391912,,37.4,1501,1.016642477
7,Sham,1.544131235,0.947419286,1.079874202,,16.3,1273,0.841215897
9,Sham,0.985968543,1.824283393,1.752708286,,41.7,1305,0.975024015
11,Sham,1.170248331,1.434938695,1.277372671,,29.6,1502,0.974601409
12,Sham,1.425891206,1.359999403,1.371819978,,46,1389,1.197266347
15,Sham,1.394089308,1.241517137,1.163823818,,26.6,1400,0.776668252
16,Sham,1.049320724,0.237493487,0.747956625,,39.4,1447,0.904455755
